Term,Albanian (sq),Arabic (ar),Tamil (ta),Dari (fa-AF),Spanish (es),Urdu (ur),French (fr),Portuguese (pt),Somali (so),Turkish (tr),Descriptor / Comments (EN)
Voluntary care,Kujdes vullnetar,??????? ???????,?????????? ??????????,?????? ?????????,Cuidado voluntario,????????? ???? ????,Prise en charge volontaire,Acolhimento voluntário,Care-ka tabarruca ah,Gönüllü bak?m,Accommodation of a child by the council with parental consent under Section 20.
Care order,Urdhër kujdestarie,??? ?????,?????????? ???????,??? ??????,Orden de tutela,???? ???? ?? ???,Ordonnance de placement,Ordem de proteção e cuidado,Amarka daryeelka,Bak?m emri,A court order placing a child under the legal care of a local authority.
Interim care order,Urdhër i përkohshëm kujdestarie,??? ????? ????,???????? ?????????? ???????,??? ?????? ????,Orden de tutela provisional,????? ???? ???? ?? ???,Ordonnance de placement provisoire,Ordem de proteção provisória,Amarka daryeelka ee kumeelgaarka ah,Geçici bak?m emri,A temporary court order placing a child in local authority care during legal proceedings.
Remanded into accommodation,Dërgim në mbajtje në vendbanim,??????? ??? ???? ?????,?????????? ??????? ???????,????? ?? ????????,Prisión preventiva en centro de acogida,????? ??? ??? ?????,Placé en hébergement sur ordonnance,Remetido a alojamento de proteção,Sgorta guri loogu ruyomay,Bar?nma merkezine sevk,A court-ordered placement of a young person in local authority care following a criminal offence.
Care Plan,Plan kujdesi,??? ???????,???????????? ???????,???? ??????,Plan de cuidados,???? ???? ?? ??????,Plan de prise en charge,Plano de cuidados,Qorshaha daryeelka,Bak?m plan?,"Statutory document detailing a looked-after child's placement, health, education, and family contact needs."
Emergency Duty Service (EDS),Shërbimi i Urgjencës në Detyrë,????? ??????? ????????,??????? ?????? ????,????? ????? ???????,Servicio de guardias de emergencia,?????? ????? ????,Service d'urgence sociale,Serviço de plantão de emergência,Adeega Heeganka Degdega ah,Acil durum nöbetçi servisi,Out-of-hours social work team providing emergency response for urgent child protection concerns.
Multi-Agency Safeguarding Hub (MASH),Qendra Ndëragjenciake e Mbrojtjes,?????? ??????? ?????? ???????,??????? ?????????? ?????,???? ??????? ???????? ??????,Centro de protección interinstitucional,???? ?????? ??? ?????? ??,Pôle de protection interpartenarial,Centro de proteção multiinstitucional,Xubinta Ilaalinta ee Hay'adaha Badan,Çok kurumlu koruma merkezi,Central point for receiving and screening all initial child protection and safeguarding referrals.
Child Protection Enquiries,Hetimet për mbrojtjen e fëmijës,??????? ????? ?????,??????? ?????????? ??????????,??????? ????? ?????,Investigaciones de protección de menores,???? ?? ????? ?? ???????,Enquêtes de protection de l'enfance,Inquéritos de proteção infantil,Baaritaanada ilaalinta ilmaha,Çocuk koruma incelemeleri,Statutory investigations undertaken by local authorities when a child is suspected of facing significant harm.
Safer Baby Toolkit,Paketa për sigurinë e foshnjave,????? ????? ?????,??? ??????? ?????????,???? ????? ?????? ?????,Guía de seguridad para bebés,????? ???????? ??? ??,Kit de sécurité pour nourrissons,Kit de segurança do bebé,Agabka badbaadada ilmaha yar,Güvenli bebek kiti,Practical social work risk-assessment framework used to evaluate safe infant care and sleep arrangements.
Unborn,Fëmijë i palindur,?????? ??? ???????,???????? ???????,??? ????? ????,No nacido,???? ???? ???? ???,Enfant à naître,Natituro,Ilmaha aan weli dhalan,Do?mam?? çocuk,Social care designation for an expected baby subject to a safeguarding assessment or plan.
Perinatal Mental Health Team,Ekipi i shëndetit mendor perinatal,???? ????? ??????? ?????? ??????? ????????,??????????? ??????? ??????? ??????? ?????? ????,??? ??? ????? ????? ??????? ? ?????,Equipo de salud mental perinatal,?????? ?? ??? ??? ?? ???? ??? ?? ???,Équipe de santé mentale périnatale,Equipa de saúde mental perinatal,Kooxda Caafimaadka Maskaxda ee dhalmada ka hor iyo ka dib,Perinatal ruh sa?l??? ekibi,Specialist psychiatric services supporting mothers during pregnancy and the first year postpartum.
DASH Risk Assessment,Vlerësimi i rrezikut DASH,????? ????? ????? ??????,???? ???? ?????????,??????? ??? ????? ????????,Evaluación de riesgos DASH,??? ???? ?? ??????,Évaluation des risques DASH,Avaliação de risco DASH,Qiimeynta Khatarta DASH,DASH risk de?erlendirmesi,"Standardised multi-agency checklist evaluating risk level in domestic abuse, stalking, and honour-based violence."
Assault by Beating,Sulm me rrahje,???????? ??????,????????? ?????????,???? ????? ?? ?? ? ???,Agresión mediante golpes,??? ??? ?? ????? ????,Agression par coups,Agressão por espancamento,Sulb rrin garaacid ah,Darp suretiyle sald?r?,A specific UK legal charge for applying unlawful physical force to another person.
Family Rights Group,Grupi për të Drejtat e Familjes,?????? ???? ???????,??????? ???????? ????,???? ???? ?????,Grupo de Derechos de la Familia,????? ????? ????,Groupe de défense des droits des familles,Grupo de Direitos da Família,Kooxda Xuquuqda Qoyska,Aile haklar? grubu,Independent UK charity providing legal advice to families involved with children's social care.
Referral and Assessment Team,Ekipi i referimit dhe vlerësimit,???? ??????? ????????,????????? ??????? ????????????? ????,??? ????? ? ???????,Equipo de derivación y evaluación,????? ??? ??????? ???,Équipe d'orientation et d'évaluation,Equipa de encaminhamento e avaliação,Kooxda Gudbinta iyo Qiimeynta,Sevk ve de?erlendirme ekibi,UK local authority social services team responsible for screening new child welfare reports.
Child Protection Medical (CP Medical),Ekzaminim mjekësor për mbrojtjen e fëmijës,????? ????? ?????? ?????,??????? ?????????? ?????????? ????????,?????? ??? ????? ?????,Examen médico de protección de menores,????? ???????? ??????,Examen médical de protection de l'enfance,Exame médico de proteção infantil,Baaritaanka caafimaadka ilaalinta ilmaha,Çocuk koruma t?bbi de?erlendirmesi,Forensic physical examination of a child to document suspected physical abuse or neglect.
Long-term Team,Ekipi afatgjatë,?????? ???? ?????,???????? ??????? ????,??? ?????? ???,Equipo de seguimiento a largo plazo,???? ???? ???,Équipe de suivi à long terme,Equipa de acompanhamento a longo prazo,Kooxda muddada dheer,Uzun vadeli takip ekibi,Social work team managing ongoing child protection or care plans after initial assessment.
Social Work Assistant (SWA),Asistent i punës sociale,????? ????? ?????????,?????? ??? ?????????,????? ??????? ???????,Asistente de trabajo social,???? ??? ??????,Assistant de service social,Assistente de serviço social,Kaaliyaha Shaqada Bulshada,Sosyal hizmet uzman? yard?mc?s?,Non-statutory practitioner providing practical support and interventions to families under social work supervision.
Designated Safeguarding Lead (DSL),Drejtuesi i caktuar për mbrojtjen,??????? ?????? ?? ????? ???????,?????????????? ?????????? ???????,????? ???? ????? ??????,Responsable designado de salvaguarda,????? ???? ??? ?????? ???,Responsable désigné de la protection,Responsável designado pela salvaguarda,Sarkaalka loo igmaday ilaalinta,Görevlendirilmi? koruma sorumlusu,School staff member responsible for coordinating child protection and welfare concerns within education.
Incredible Years,Vitet e mrekullueshme,??????? ???????,???????? ??????? ????????,??????? ??????????,Años Increíbles,????????? ?????,Les années incroyables,Anos Incríveis,Sannadaha Cajiibka ah,?nan?lmaz y?llar,Evidence-based parenting program focusing on child behavior regulation and positive discipline strategies.
Zones of Regulation,Zonat e rregullimit,????? ????? ??????,??????????? ??????????,??????? ????? ??????,Zonas de Regulación,???? ?? ????????,Zones de régulation,Zonas de Regulação,Zones-ka Is-maamulidda,Regülasyon alanlar?,Framework helping children identify and manage their emotional states and behaviors.
Child Looked After Review (CLA Review),Rishikimi i fëmijës në kujdes,?????? ??? ????? ??? ???????,??????????????? ???????????? ????????,????? ????? ??? ??? ??????,Revisión del menor acogido,????? ??? ???? ?????,Révision de la situation de l'enfant placé,Revisão do estatuto da criança acolhida,Dib-u-eegista Ilmaha Daryeelka ku Jira,Bak?m alt?ndaki çocuk de?erlendirmesi,"Statutory meeting evaluating a child's care plan, health, and education while in care."
Independent Reviewing Officer (IRO),Zyrtari i pavarur rishikues,????? ???????? ???????,??????????? ???????? ???????,???? ????? ???????,Oficial de revisión independiente,???? ??????? ?????,Responsable indépendant de la révision,Técnico de revisão independente,Sarkaalka Madaxbanaan ee Dib-u-eegista,Ba??ms?z denetleme sorumlusu,Social work manager who monitors and reviews care plans for children in care.
Section 20 (Children Act 1989),Neni 20,?????? 20,?????? 20,???? 20,Sección 20,????? 20,Article 20,Artigo 20,Qaybta 20aad,Madde 20,"Provision allowing local authorities to accommodate a child with parental consent, without court order."
Parental Responsibility,Përgjegjësia prindërore,????????? ???????,?????????? ????????,??????? ???????,Responsabilidad parental,?????? ??override ??? ????,Autorité parentale,Responsabilidade parental,Mas'uuliyadda Waalidnimo,Velayet sorumlulu?u,"Legal rights, duties, and authority a parent or local authority has over a child."
Foster Carer,Prind kujdestar,?????? ??????,?????????? ????????,??????????? ?????,Cuidador de acogida,????? ?????,Assistant familial,Família de acolhimento,Waalidka koriya ilmaha kale,Koruyucu aile,State-approved individual providing day-to-day care for a child placed in local authority care.
Triple Planning,Planifikim i trefashtë,??????? ???????,????????? ???????,?????????? ???????,Planificación triple,???? ??????,Triple planification,Planeamento triplo,Qorshaynta saddex-geesoodka ah,Üçlü planlama,"Care planning for unaccompanied minors covering immigration asylum tracking, integration, and potential return."
Appeal Rights Exhausted (ARE),Shterim i të drejtave të apelit,??????? ???? ?????????,?????????????? ???????? ??????????,??? ??? ???? ?????????????,Agotamiento de las vías de recurso,???? ?? ???? ?? ??? ????,Épuisement des voies de recours,Esgotamento dos direitos de recurso,Xuquuqda Racfaanka oo Dhamaatay,Temyiz haklar?n?n tükenmesi,Legal status where an asylum seeker has no further options to appeal a refusal.
