en,it,sq,ar,ta,fa,es,ur,fr,pt,so,tr
Voluntary care,Affidamento volontario,Kujdes vullnetar,رعاية طوعية,தன்னார்வ பராமரிப்பு,مراقبت داوطلبانه,Cuidado voluntario,رضاکارانہ دیکھ بھال,Prise en charge volontaire,Acolhimento voluntário,Care-ka tabarruca ah,Gönüllü bakım
Care order,Ordine di tutela,Urdhër kujdestarie,أمر رعاية,பராமரிப்பு உத்தரவு,حکم مراقبت,Orden de tutela,نگہداشت کا حکم,Ordonnance de placement,Ordem de proteção e cuidado,Amarka daryeelka,Bakım emri
Interim care order,Ordine di tutela provvisorio,Urdhër i përkohshëm kujdestarie,أمر رعاية مؤقت,இடைக்கால பராமரிப்பு உத்தரவு,حکم موقت مراقبت,Orden de tutela provisional,عبوری نگہداشت کا حکم,Ordonnance de placement provisoire,Ordem de proteção provisória,Amarka daryeelka ee kumeelgaarka ah,Geçici bakım emri
Care Plan,Piano di cura,Plan kujdesi,خطة رعاية,பராமரிப்புத் திட்டம்,برنامه مراقبت,Plan de cuidados,نگہداشت کا منصوبہ,Plan de prise en charge,Plano de cuidados,Qorshaha daryeelka,Bakım planı
Child Protection Enquiries,Indagini per la protezione dei minori,Hetimet për mbrojtjen e fëmijës,تحقيقات حماية الطفل,குழந்தை பாதுகாப்பு விசாரணைகள்,تحقیقات حفاظت از کودک,Investigaciones de protección de menores,بچوں کی حفاظت کی تحقیقات,Enquêtes de protection de l'enfance,Inquéritos de proteção infantil,Baaritaanada ilaalinta ilmaha,Çocuk koruma incelemeleri
Referral and Assessment Team,Equipe di segnalazione e valutazione,Ekipi i referimit dhe vlerësimit,فريق الإحالة والتقييم,பரிந்துரை மற்றும் மதிப்பீட்டுக் குழு,تیم ارجاع و ارزیابی,Equipo de derivación y evaluación,حوالہ اور تشخیص ٹیم,Équipe d'orientation et d'évaluation,Equipa de encaminhamento e avaliação,Kooxda Gudbinta iyo Qiimeynta,Sevk ve değerlendirme ekibi
Child Protection Medical (CP Medical),Visita medica di protezione del minore,Ekzaminim mjekësor për mbrojtjen e fëmijës,فحص طبي لحماية الطفل,குழந்தை பாதுகாப்பு மருத்துவ பரிசோதனை,معاینه پزشکی حفاظت از کودک,Examen médico de protección de menores,بچوں کی حفاظت طبی معائنہ,Examen médical de protection de l'enfance,Exame médico de proteção infantil,Baaritaanka caafimaadka ilaalinta ilmaha,Çocuk koruma tıbbi değerlendirmesi
Long-term Team,Equipe di presa in carico a lungo termine,Ekipi afatgjatë,الفريق طويل الأمد,நீண்டகால குழு,تیم بلندمدت,Equipo de seguimiento a largo plazo,طویل مدتی ٹیم,Équipe de suivi à long terme,Equipa de acompanhamento a longo prazo,Kooxda muddada dheer,Uzun vadeli takip ekibi
Social Work Assistant (SWA),Assistente di servizio sociale,Asistent i punës sociale,مساعد خدمة اجتماعية,சமூக சேவை உதவியாளர்,دستیار مددکاری اجتماعی,Asistente de trabajo social,سماجی کام معاون,Assistant de service social,Assistente de serviço social,Kaaliyaha Shaqada Bulshada,Sosyal hizmet uzmanı yardımcısı
Designated Safeguarding Lead (DSL),Responsabile designato per la salvaguardia,Drejtuesi i caktuar për mbrojtjen,المسؤول المعين عن الحماية,நியமிக்கப்பட்ட பாதுகாப்பு தலைவர்,مسئول تعیین‌شده حفاظت,Responsable designado de salvaguarda,نامزد حفاظتی ذمہ دار,Responsable désigné de la protection,Responsável designado pela salvaguarda,Sarkaalka loo igmaday ilaalinta,Görevlendirilmiş koruma sorumlusu
Incredible Years,Incredible Years,Vitet e mrekullueshme,السنوات المذهلة,நம்பமுடியாத ஆண்டுகள்,سالهای باورنکردنی,Años Increíbles,انکریڈیبل ائیرز,Les années incroyables,Anos Incríveis,Sannadaha Cajiibka ah,İnanılmaz yıllar
Zones of Regulation,Zones of Regulation,Zonat e Rregullimit,مناطق التنظيم,ஒழுங்குமுறை மண்டலங்கள்,مناطق تنظیم,Zonas de Regulación,ضابطے کے زون,Zones de Régulation,Zonas de Regulação,Aagagga Is-maamulidda,Düzenleme Bölgeleri
Parental Responsibility,Responsabilità genitoriale,Përgjegjësia prindërore,المسؤولية الوالدية,பெற்றோர் பொறுப்பு,مسئولیت والدین,Responsabilidad parental,والدین کی ذمہ داری,Autorité parentale,Responsabilidade parental,Mas'uuliyadda Waalidnimo,Velayet sorumluluğu
Foster Carer,Genitore affidatario,Prind kujdestar,مقدم رعاية بديلة,வளர்ப்பு பராமரிப்பாளர்,مراقب جایگزین,Cuidador de acogida,رضاعی والدین,Assistant familial,Família de acolhimento,Waalidka koriya ilmaha kale,Koruyucu aile
coaching of children,condizionamento dei minori,kondicionimi i fëmijëve,تلقين الأطفال,குழந்தைகளை நிபந்தனைப்படுத்துதல்,شرطی‌سازی کودکان,condicionamiento de los menores,بچوں کی ذہن سازی,conditionnement des enfants,condicionamento das crianças,qabqabsiga carruurta,çocukların koşullandırılması
mop,mocio,mop,ممسحة,துடைப்பான்,تی شوی,fregona,پوچھا,serpillière,esfregona,masaxda,paspas
Present,Presente,Presente,الحاضر,தற்போது,حال حاضر,Presente,موجودہ,Présent,Presente,Hadda,Günümüz
Any other white background,Qualsiasi altra origine bianca,Qualsiasi altra origine bianca,أي خلفية بيضاء أخرى,வேறு ஏதேனும் வெள்ளை பின்னணி,هر پیشینه سفید دیگر,Cualquier otro origen blanco,کوئی اور سفید پس منظر,Toute autre origine blanche,Qualquer outra origem branca,Asal kasta oo kale oo caddaan ah,Diğer beyaz köken
implements,oggetti,objekte,أدوات,பொருட்கள்,اشیاء,objetos,اشیاء,objets,objetos,aaladaha,cisimler
Non-Household Significant Family Members,Familiari significativi non conviventi,Familjarë të rëndësishëm jashtë familjes,أفراد الأسرة المهمون من خارج المنزل,வீட்டில் வசிக்காத முக்கிய குடும்ப உறுப்பினர்கள்,اعضای مهم خانواده خارج از خانه,Familiares significativos no convivientes,گھر سے باہر اہم خاندانی افراد,Membres significatifs de la famille ne vivant pas au domicile,Familiares significativos não residentes,Xubnaha muhiimka ah ee qoyska ee aan guriga ku noolayn,Hane dışında yaşayan önemli aile üyeleri
historical allegation,accusa pregressa,akuzë e mëparshme,ادعاء سابق,முந்தைய குற்றச்சாட்டு,ادعای پیشین,alegación previa,سابقہ الزام,allégation antérieure,alegação anterior,dacwad hore,önceki iddia
Single Assessment,Valutazione unica,Vlerësim i vetëm,التقييم الموحد,ஒற்றை மதிப்பீடு,ارزیابی واحد,Evaluación única,واحد تشخیص,Évaluation unique,Avaliação única,Qiimeynta Keli ah,Tekli değerlendirme
